company_count,integrated_degree_programs,educational_trainings,qualifications,regular_apprenticeships,inhouse_trainings,educational_trainings_and_regular_apprenticeships,training_programs,total_count,timestamp
5489,26013,6896,8293,105628,920,4038,10061,152131,2025-02-02
5491,26175,6965,8303,106278,920,4095,10026,153002,2025-02-03
5494,26153,6960,8305,106201,920,4115,10057,152905,2025-02-04
5500,26158,7174,7577,106255,921,4239,10052,152282,2025-02-06
5504,26341,7176,7579,106161,912,4238,10044,152372,2025-02-08
5504,26338,7178,7579,106162,912,4238,10045,152372,2025-02-09
5508,26380,7161,7569,106088,912,4284,9969,152340,2025-02-10
5506,26342,7149,7559,106141,913,4300,10032,152352,2025-02-11
5510,26342,7143,7544,105962,914,4280,10038,152163,2025-02-12
5511,26399,7147,7540,105981,924,4296,10046,152220,2025-02-13
5514,26409,7223,7540,105842,922,4308,10030,152163,2025-02-14
5517,26336,7218,7539,105668,905,4311,10019,151896,2025-02-15
5517,26227,7218,7539,105441,894,4310,10020,151548,2025-02-16
5529,26466,7205,6733,105494,896,4307,9976,150994,2025-02-18
5531,26452,7246,6733,105642,903,4384,9983,151095,2025-02-19
5532,26543,7225,6735,105522,899,4333,9976,151055,2025-02-20
5533,26555,7238,6737,105361,899,4298,9952,150863,2025-02-21
5533,26554,7238,6737,105330,899,4298,9952,150831,2025-02-22
5533,26540,7238,6735,104718,899,4298,9785,150047,2025-02-23
5537,26549,7198,6750,105189,899,4295,9937,150649,2025-02-24
5537,26555,7171,6686,104686,901,4423,9680,150231,2025-02-25
5541,26465,7133,6676,101699,899,4420,7856,147090,2025-02-26
